OpenJDK 64-Bit Server VM (25.362-b08) for linux-amd64 JRE (1.8.0_362-b08), built on Jan 25 2023 16:43:50 by "mockbuild" with gcc 4.8.5 20150623 (Red Hat 4.8.5-44)
Memory: 4k page, physical 58720256k(58713180k free), swap 0k(0k free)
CommandLine flags: -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=/opt/CA/itoa/ade/logs/heap_dump.bin -XX:InitialHeapSize=268435456 -XX:MaxHeapFreeRatio=70 -XX:MaxHeapSize=42949672960 -XX:MinHeapFreeRatio=10 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseParallelGC 
2023-04-09T19:10:55.972+0000: 21.392: [GC (Allocation Failure) [PSYoungGen: 79280K->5664K(81408K)] 92983K->19375K(256512K), 0.0041389 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2023-04-09T19:10:57.373+0000: 22.792: [GC (Allocation Failure) [PSYoungGen: 79904K->6560K(81920K)] 93615K->20279K(257024K), 0.0037865 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2023-04-09T19:10:59.252+0000: 24.671: [GC (Allocation Failure) [PSYoungGen: 80800K->8464K(81920K)] 94519K->22191K(257024K), 0.0679898 secs] [Times: user=0.07 sys=0.00, real=0.06 secs] 
2023-04-09T19:11:01.694+0000: 27.114: [GC (Allocation Failure) [PSYoungGen: 81680K->8507K(82944K)] 95407K->23562K(258048K), 0.0125027 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2023-04-09T19:11:03.577+0000: 28.997: [GC (Allocation Failure) [PSYoungGen: 81723K->8976K(83456K)] 96778K->24695K(258560K), 0.0055304 secs] [Times: user=0.03 sys=0.02, real=0.01 secs] 
2023-04-09T19:11:05.813+0000: 31.233: [GC (Allocation Failure) [PSYoungGen: 81168K->9232K(84480K)] 96887K->24959K(259584K), 0.0043225 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2023-04-09T19:11:08.116+0000: 33.536: [GC (Allocation Failure) [PSYoungGen: 81424K->10832K(84480K)] 97151K->26567K(259584K), 0.0049171 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2023-04-09T19:11:08.382+0000: 33.802: [GC (Metadata GC Threshold) [PSYoungGen: 16432K->10976K(85504K)] 32168K->26720K(260608K), 0.0048304 secs] [Times: user=0.04 sys=0.00, real=0.00 secs] 
2023-04-09T19:11:08.387+0000: 33.806: [Full GC (Metadata GC Threshold) [PSYoungGen: 10976K->0K(85504K)] [ParOldGen: 15743K->24061K(175104K)] 26720K->24061K(260608K), [Metaspace: 56346K->56346K(59392K)], 0.0681252 secs] [Times: user=0.51 sys=0.00, real=0.07 secs] 
2023-04-09T19:11:10.584+0000: 36.004: [GC (Allocation Failure) [PSYoungGen: 71168K->1472K(86528K)] 95229K->25541K(261632K), 0.0042429 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2023-04-09T19:11:12.326+0000: 37.745: [GC (Allocation Failure) [PSYoungGen: 72640K->1856K(86528K)] 96709K->25933K(261632K), 0.0038890 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2023-04-09T19:11:14.322+0000: 39.742: [GC (Allocation Failure) [PSYoungGen: 73024K->2880K(85504K)] 97101K->26965K(260608K), 0.0045969 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2023-04-09T19:11:15.630+0000: 41.050: [GC (Allocation Failure) [PSYoungGen: 74048K->4480K(75776K)] 98133K->28573K(250880K), 0.0044797 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2023-04-09T19:11:17.135+0000: 42.555: [GC (Allocation Failure) [PSYoungGen: 75648K->5184K(82944K)] 99741K->29285K(258048K), 0.0045328 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2023-04-09T19:11:19.567+0000: 44.986: [GC (Allocation Failure) [PSYoungGen: 76352K->6050K(83968K)] 100453K->30159K(259072K), 0.0050736 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2023-04-09T19:11:21.166+0000: 46.586: [GC (Allocation Failure) [PSYoungGen: 77218K->6048K(82944K)] 101327K->30157K(258048K), 0.0041781 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2023-04-09T19:11:22.812+0000: 48.231: [GC (Allocation Failure) [PSYoungGen: 77216K->6416K(77824K)] 101325K->30533K(252928K), 0.0049043 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2023-04-09T19:11:24.319+0000: 49.738: [GC (Allocation Failure) [PSYoungGen: 77584K->6576K(82944K)] 101701K->30693K(258048K), 0.0047998 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
2023-04-09T19:11:25.749+0000: 51.168: [GC (Allocation Failure) [PSYoungGen: 77744K->6864K(82944K)] 101861K->30981K(258048K), 0.0045240 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2023-04-09T19:11:27.581+0000: 53.001: [GC (Allocation Failure) [PSYoungGen: 78032K->7024K(82944K)] 102149K->31141K(258048K), 0.0045876 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2023-04-09T19:11:29.283+0000: 54.703: [GC (Allocation Failure) [PSYoungGen: 78192K->7232K(82944K)] 102309K->31357K(258048K), 0.0057711 secs] [Times: user=0.04 sys=0.00, real=0.00 secs] 
2023-04-09T19:11:30.927+0000: 56.347: [GC (Allocation Failure) [PSYoungGen: 78400K->7456K(82944K)] 102525K->31581K(258048K), 0.0049162 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2023-04-09T19:11:32.497+0000: 57.917: [GC (Allocation Failure) [PSYoungGen: 78624K->7632K(82944K)] 102749K->31757K(258048K), 0.0055432 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2023-04-09T19:11:34.275+0000: 59.695: [GC (Allocation Failure) [PSYoungGen: 78800K->8496K(82944K)] 102925K->32629K(258048K), 0.0056051 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2023-04-09T19:11:34.775+0000: 60.195: [GC (Allocation Failure) [PSYoungGen: 79664K->11760K(82944K)] 103797K->42069K(258048K), 0.0084644 secs] [Times: user=0.04 sys=0.01, real=0.01 secs] 
